round,ligand_id,smiles,MW,cLogP,logD7.4,logD7.4_est,TPSA,HBD,HBA,RotB,logS_ESOL_est,efflux_risk_0to2,E_dock,CNS_MPO_TE2052,Ki_note
R3,emap3_Bn-3F_4OMe_OCH2CH2CF2CH2F,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCC(F)CF,543.546,3.738,,2.976,91.480,0,6,12,-4.773,2,-4.644,4.200,
R3,emap3_Bn-3F_4OMe_CH2CH2CF2CH2CH2F,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)CCF,527.547,4.154,,3.469,82.250,0,5,11,-5.002,1,-6.011,4.200,
R3,emap3_Bn-3F_4OMe_CH2CF2CH2CH2F,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)CCF,513.520,4.284,,3.599,82.250,0,5,10,-5.063,1,-5.982,4.200,
R3,emap3_Bn-3F_4OMe_CH2CF2CH2CHF2,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)C(F)F,517.483,4.190,,3.504,82.250,0,5,9,-5.094,1,-4.881,4.200,
R3,emap3_Bn-3F_4OMe_CH2CF2CH2CF3,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)C(F)(F)F,535.473,4.487,,3.801,82.250,0,5,8,-5.459,1,-6.107,4.200,
R3,emap3_Bn-3F_4OMe_OCH2CF2CH2CH2F,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)CCF,543.546,4.086,,3.323,91.480,0,6,12,-4.992,2,-4.811,3.600,
R3,emap3_Bn-3F_4OMe_OCH2CH2CF2CH2CH2F,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCC(F)CCF,557.573,4.128,,3.366,91.480,0,6,13,-5.040,2,-4.753,3.000,
R3,emap3_Bn-3F_4OMe_CH2CH2CF2CH2CH2CHF2,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)CC(F)F,545.537,4.450,,3.764,82.250,0,5,11,-5.300,1,-6.284,4.200,
R3,emap3_Bn-3F_4OMe_CH2CH2CF2CH2CH2CF3,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)CC(F)(F)F,563.527,4.747,,4.061,82.250,0,5,10,-5.664,2,-5.533,2.400,
R3,emap3_Bn-3CF3_4F_Me,CCN(Cc1c(C(F)(F)F)ccc(F)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C,487.457,4.004,,3.395,73.020,0,4,6,-4.989,0,-6.715,4.800,
R3,emap3_Bn-3CF3_4F_Et,CCN(Cc1c(C(F)(F)F)ccc(F)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC,501.484,4.487,,3.878,73.020,0,4,7,-5.314,1,-6.688,4.200,
R3,emap3_Bn-3CF3_4F_nPr,CCN(Cc1c(C(F)(F)F)ccc(F)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCC,515.511,4.877,,4.268,73.020,0,4,8,-5.580,1,-6.748,3.000,
R3,emap3_Bn-3CF3_4F_nBu,CCN(Cc1c(C(F)(F)F)ccc(F)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCCC,529.538,5.267,,4.658,73.020,0,4,9,-5.847,2,-6.619,2.400,
R3,emap3_Bn-3CF3_4F_CH2F,CCN(Cc1c(C(F)(F)F)ccc(F)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CF,505.447,4.394,,3.785,73.020,0,4,7,-5.280,1,-7.049,4.200,
