Time [h],PeripheralVenousBlood-Analog6-Plasma (Peripheral Venous Blood) [µmol/l],ArterialBlood-Plasma-Analog6-Concentration in container [µmol/l],Brain-Analog6-Tissue [µmol/l],Liver-Analog6-Tissue (Liver) [µmol/l],Brain-Intracellular-Analog6-Concentration in container [µmol/l],Brain-Interstitial-Analog6-Concentration in container [µmol/l],Brain-BloodCells-Analog6-Concentration in container [µmol/l],Brain-Plasma-Analog6-Concentration in container [µmol/l],PeripheralVenousBlood-Analog6-Whole Blood (Peripheral Venous Blood) [µmol/l],ArterialBlood-Analog6-Whole Blood [µmol/l]
0.2183333,0.0008422124,0.0008129344,0.000003728789,0.001353427,0.000002381662,0.000326029,0.0002289319,0.00081513,0.0005570167,0.0005380604
0.22,0.0008388988,0.0008097078,0.000003732597,0.001346683,0.000002391013,0.0003247066,0.0002280214,0.0008118851,0.0005548252,0.0005359253
0.2216667,0.000835617,0.0008065063,0.00000373641,0.001339994,0.000002400327,0.0003233944,0.0002271179,0.0008086652,0.0005526546,0.0005338069
0.2233333,0.0008323663,0.0008033297,0.000003740228,0.001333362,0.000002409602,0.0003220923,0.0002262214,0.0008054705,0.0005505045,0.0005317049
0.225,0.0008291466,0.0008001777,0.00000374405,0.001326784,0.000002418841,0.0003208003,0.000225332,0.0008023005,0.0005483747,0.0005296192
0.2266667,0.0008259572,0.0007970502,0.000003747876,0.001320261,0.000002428042,0.0003195181,0.0002244494,0.0007991551,0.0005462649,0.0005275497
0.2283333,0.0008227978,0.000793947,0.000003751707,0.001313792,0.000002437207,0.000318246,0.0002235738,0.0007960342,0.0005441746,0.0005254963
0.23,0.0008196676,0.000790868,0.000003755543,0.001307378,0.000002446335,0.0003169837,0.0002227049,0.0007929375,0.0005421037,0.0005234589
0.2316667,0.0008165665,0.0007878129,0.000003759384,0.001301016,0.000002455426,0.0003157312,0.0002218429,0.000789865,0.0005400518,0.0005214374
0.2333333,0.0008134937,0.0007847816,0.000003763229,0.001294708,0.000002464482,0.0003144885,0.0002209876,0.0007868165,0.0005380186,0.0005194317
0.235,0.0008104491,0.0007817741,0.00000376708,0.001288453,0.000002473502,0.0003132556,0.000220139,0.0007837918,0.000536004,0.0005174417
0.2366667,0.0008074321,0.0007787899,0.000003770935,0.00128225,0.000002482487,0.0003120322,0.000219297,0.0007807906,0.0005340074,0.0005154671
0.2383333,0.0008044423,0.0007758288,0.000003774795,0.001276099,0.000002491436,0.0003108184,0.0002184615,0.0007778127,0.0005320289,0.0005135079
0.24,0.0008014794,0.0007728909,0.00000377866,0.001269999,0.000002500351,0.000309614,0.0002176326,0.000774858,0.000530068,0.0005115638
0.2416667,0.000798543,0.0007699757,0.000003782529,0.00126395,0.000002509231,0.0003084189,0.0002168101,0.0007719263,0.0005281246,0.000509635
0.2433333,0.0007956327,0.0007670831,0.000003786402,0.001257952,0.000002518077,0.0003072332,0.0002159941,0.0007690173,0.0005261983,0.0005077211
0.245,0.0007927481,0.000764213,0.000003790281,0.001252005,0.000002526889,0.0003060567,0.0002151843,0.000766131,0.000524289,0.000505822
0.2466667,0.0007898888,0.0007613652,0.000003794163,0.001246107,0.000002535667,0.0003048894,0.0002143809,0.000763267,0.0005223964,0.0005039377
0.2483333,0.0007870546,0.0007585394,0.00000379805,0.001240258,0.000002544411,0.0003037311,0.0002135837,0.0007604252,0.0005205202,0.000502068
0.25,0.000784245,0.0007557354,0.000003801941,0.001234458,0.000002553123,0.0003025818,0.0002127927,0.0007576054,0.0005186604,0.0005002127
0.2583333,0.0007705557,0.0007420371,0.00000382146,0.00120618,0.000002596189,0.0002969676,0.0002089284,0.0007438299,0.0005095973,0.0004911491
